v089,v089_code,v084,v084_num,hours_level,high_hours,worklife_score,low_worklife,high_stress_group,v004_code
41-50 hours,1.0,2,4.0,high,1,2.0,1,1,1.0
21-30 hours,5.0,3,1.0,medium,0,3.0,1,0,2.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
21-30 hours,5.0,6,6.0,medium,0,6.0,0,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
More than 80 hours,7.0,4 = Neither satisfied not dissatisfied,3.0,very_high,1,4.0,0,0,1.0
61-70 hours,4.0,4 = Neither satisfied not dissatisfied,3.0,very_high,1,4.0,0,0,2.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
61-70 hours,4.0,2,4.0,very_high,1,2.0,1,1,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
71-80 hours,6.0,3,1.0,very_high,1,3.0,1,1,2.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,1.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,1.0
More than 80 hours,7.0,4 = Neither satisfied not dissatisfied,3.0,very_high,1,4.0,0,0,2.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,2.0
41-50 hours,1.0,7 = Extremely satisfied,7.0,high,1,7.0,0,0,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
51-60 hours,2.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
61-70 hours,4.0,4 = Neither satisfied not dissatisfied,3.0,very_high,1,4.0,0,0,1.0
71-80 hours,6.0,5,2.0,very_high,1,5.0,0,0,2.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
71-80 hours,6.0,6,6.0,very_high,1,6.0,0,0,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,2.0
41-50 hours,1.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,3.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,2.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,1.0
51-60 hours,2.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
More than 80 hours,7.0,4 = Neither satisfied not dissatisfied,3.0,very_high,1,4.0,0,0,2.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,2.0
41-50 hours,1.0,2,4.0,high,1,2.0,1,1,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,1.0
51-60 hours,2.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
71-80 hours,6.0,3,1.0,very_high,1,3.0,1,1,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
More than 80 hours,7.0,2,4.0,very_high,1,2.0,1,1,3.0
41-50 hours,1.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,2.0
21-30 hours,5.0,6,6.0,medium,0,6.0,0,0,2.0
More than 80 hours,7.0,3,1.0,very_high,1,3.0,1,1,1.0
21-30 hours,5.0,2,4.0,medium,0,2.0,1,0,1.0
11-20 hours,8.0,4 = Neither satisfied not dissatisfied,3.0,low,0,4.0,0,0,2.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
41-50 hours,1.0,2,4.0,high,1,2.0,1,1,1.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,1.0
21-30 hours,5.0,5,2.0,medium,0,5.0,0,0,2.0
21-30 hours,5.0,5,2.0,medium,0,5.0,0,0,1.0
51-60 hours,2.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,1.0
61-70 hours,4.0,3,1.0,very_high,1,3.0,1,1,1.0
41-50 hours,1.0,2,4.0,high,1,2.0,1,1,2.0
51-60 hours,2.0,5,2.0,high,1,5.0,0,0,1.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,1.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,1.0
61-70 hours,4.0,6,6.0,very_high,1,6.0,0,0,1.0
21-30 hours,5.0,7 = Extremely satisfied,7.0,medium,0,7.0,0,0,1.0
61-70 hours,4.0,3,1.0,very_high,1,3.0,1,1,1.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,1.0
31-40 hours,3.0,7 = Extremely satisfied,7.0,medium,0,7.0,0,0,1.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,2.0
11-20 hours,8.0,6,6.0,low,0,6.0,0,0,2.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,2.0
71-80 hours,6.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,3.0
More than 80 hours,7.0,2,4.0,very_high,1,2.0,1,1,1.0
71-80 hours,6.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
51-60 hours,2.0,6,6.0,high,1,6.0,0,0,1.0
61-70 hours,4.0,3,1.0,very_high,1,3.0,1,1,1.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
61-70 hours,4.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
51-60 hours,2.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
41-50 hours,1.0,7 = Extremely satisfied,7.0,high,1,7.0,0,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
61-70 hours,4.0,2,4.0,very_high,1,2.0,1,1,1.0
More than 80 hours,7.0,3,1.0,very_high,1,3.0,1,1,1.0
11-20 hours,8.0,5,2.0,low,0,5.0,0,0,1.0
41-50 hours,1.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,2.0
21-30 hours,5.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,2.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,1.0
More than 80 hours,7.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,2.0
51-60 hours,2.0,7 = Extremely satisfied,7.0,high,1,7.0,0,0,2.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,1.0
51-60 hours,2.0,6,6.0,high,1,6.0,0,0,1.0
61-70 hours,4.0,7 = Extremely satisfied,7.0,very_high,1,7.0,0,0,2.0
21-30 hours,5.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,2.0
51-60 hours,2.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
51-60 hours,2.0,5,2.0,high,1,5.0,0,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
More than 80 hours,7.0,2,4.0,very_high,1,2.0,1,1,1.0
21-30 hours,5.0,1 = Not at all satisfied,5.0,medium,0,1.0,1,0,3.0
More than 80 hours,7.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,2.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
31-40 hours,3.0,7 = Extremely satisfied,7.0,medium,0,7.0,0,0,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,2.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,1.0
Less than 11 hours,9.0,1 = Not at all satisfied,5.0,low,0,1.0,1,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
61-70 hours,4.0,5,2.0,very_high,1,5.0,0,0,1.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,1.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,1.0
More than 80 hours,7.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
More than 80 hours,7.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
61-70 hours,4.0,2,4.0,very_high,1,2.0,1,1,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
71-80 hours,6.0,5,2.0,very_high,1,5.0,0,0,1.0
41-50 hours,1.0,2,4.0,high,1,2.0,1,1,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
51-60 hours,2.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
51-60 hours,2.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,1.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,1.0
71-80 hours,6.0,5,2.0,very_high,1,5.0,0,0,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
More than 80 hours,7.0,4 = Neither satisfied not dissatisfied,3.0,very_high,1,4.0,0,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
41-50 hours,1.0,2,4.0,high,1,2.0,1,1,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
51-60 hours,2.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,1.0
51-60 hours,2.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,1.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,1.0
31-40 hours,3.0,7 = Extremely satisfied,7.0,medium,0,7.0,0,0,1.0
61-70 hours,4.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
51-60 hours,2.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,1.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,1.0
11-20 hours,8.0,3,1.0,low,0,3.0,1,0,1.0
61-70 hours,4.0,Not applicable,8.0,very_high,1,,0,0,2.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
31-40 hours,3.0,7 = Extremely satisfied,7.0,medium,0,7.0,0,0,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
51-60 hours,2.0,6,6.0,high,1,6.0,0,0,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,2.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
71-80 hours,6.0,4 = Neither satisfied not dissatisfied,3.0,very_high,1,4.0,0,0,1.0
71-80 hours,6.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
71-80 hours,6.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
41-50 hours,1.0,2,4.0,high,1,2.0,1,1,1.0
21-30 hours,5.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,1.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,2.0
51-60 hours,2.0,5,2.0,high,1,5.0,0,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
61-70 hours,4.0,5,2.0,very_high,1,5.0,0,0,3.0
51-60 hours,2.0,6,6.0,high,1,6.0,0,0,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
61-70 hours,4.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,2.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
11-20 hours,8.0,3,1.0,low,0,3.0,1,0,2.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
21-30 hours,5.0,Not applicable,8.0,medium,0,,0,0,2.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
41-50 hours,1.0,2,4.0,high,1,2.0,1,1,1.0
51-60 hours,2.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
51-60 hours,2.0,5,2.0,high,1,5.0,0,0,1.0
51-60 hours,2.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,2.0
51-60 hours,2.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,1.0
31-40 hours,3.0,1 = Not at all satisfied,5.0,medium,0,1.0,1,0,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
41-50 hours,1.0,2,4.0,high,1,2.0,1,1,1.0
11-20 hours,8.0,5,2.0,low,0,5.0,0,0,2.0
61-70 hours,4.0,3,1.0,very_high,1,3.0,1,1,1.0
Less than 11 hours,9.0,3,1.0,low,0,3.0,1,0,1.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,2.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,1.0
21-30 hours,5.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,2.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,1.0
71-80 hours,6.0,2,4.0,very_high,1,2.0,1,1,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,2.0
41-50 hours,1.0,2,4.0,high,1,2.0,1,1,2.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,2.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
41-50 hours,1.0,2,4.0,high,1,2.0,1,1,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
41-50 hours,1.0,2,4.0,high,1,2.0,1,1,2.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,2.0
41-50 hours,1.0,7 = Extremely satisfied,7.0,high,1,7.0,0,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
51-60 hours,2.0,5,2.0,high,1,5.0,0,0,1.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,2.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,1.0
41-50 hours,1.0,7 = Extremely satisfied,7.0,high,1,7.0,0,0,1.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,1.0
51-60 hours,2.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,1.0
61-70 hours,4.0,4 = Neither satisfied not dissatisfied,3.0,very_high,1,4.0,0,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
31-40 hours,3.0,2,4.0,medium,0,2.0,1,0,2.0
21-30 hours,5.0,5,2.0,medium,0,5.0,0,0,1.0
51-60 hours,2.0,6,6.0,high,1,6.0,0,0,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,2.0
11-20 hours,8.0,7 = Extremely satisfied,7.0,low,0,7.0,0,0,1.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,1.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
71-80 hours,6.0,3,1.0,very_high,1,3.0,1,1,1.0
61-70 hours,4.0,2,4.0,very_high,1,2.0,1,1,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
21-30 hours,5.0,1 = Not at all satisfied,5.0,medium,0,1.0,1,0,1.0
41-50 hours,1.0,7 = Extremely satisfied,7.0,high,1,7.0,0,0,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
61-70 hours,4.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
51-60 hours,2.0,5,2.0,high,1,5.0,0,0,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,2.0
61-70 hours,4.0,4 = Neither satisfied not dissatisfied,3.0,very_high,1,4.0,0,0,1.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,1.0
11-20 hours,8.0,3,1.0,low,0,3.0,1,0,2.0
31-40 hours,3.0,2,4.0,medium,0,2.0,1,0,2.0
51-60 hours,2.0,6,6.0,high,1,6.0,0,0,1.0
51-60 hours,2.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
More than 80 hours,7.0,3,1.0,very_high,1,3.0,1,1,1.0
61-70 hours,4.0,4 = Neither satisfied not dissatisfied,3.0,very_high,1,4.0,0,0,1.0
21-30 hours,5.0,7 = Extremely satisfied,7.0,medium,0,7.0,0,0,1.0
51-60 hours,2.0,5,2.0,high,1,5.0,0,0,1.0
More than 80 hours,7.0,2,4.0,very_high,1,2.0,1,1,1.0
51-60 hours,2.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,1.0
11-20 hours,8.0,6,6.0,low,0,6.0,0,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
71-80 hours,6.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
51-60 hours,2.0,6,6.0,high,1,6.0,0,0,2.0
More than 80 hours,7.0,4 = Neither satisfied not dissatisfied,3.0,very_high,1,4.0,0,0,1.0
More than 80 hours,7.0,4 = Neither satisfied not dissatisfied,3.0,very_high,1,4.0,0,0,1.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,2.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,2.0
More than 80 hours,7.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,2.0
More than 80 hours,7.0,6,6.0,very_high,1,6.0,0,0,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
51-60 hours,2.0,5,2.0,high,1,5.0,0,0,2.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,2.0
Less than 11 hours,9.0,3,1.0,low,0,3.0,1,0,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,2.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
61-70 hours,4.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,2.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,2.0
31-40 hours,3.0,7 = Extremely satisfied,7.0,medium,0,7.0,0,0,1.0
21-30 hours,5.0,3,1.0,medium,0,3.0,1,0,2.0
51-60 hours,2.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
11-20 hours,8.0,4 = Neither satisfied not dissatisfied,3.0,low,0,4.0,0,0,1.0
21-30 hours,5.0,5,2.0,medium,0,5.0,0,0,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
61-70 hours,4.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,2.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
41-50 hours,1.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,2.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,3.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,2.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
61-70 hours,4.0,2,4.0,very_high,1,2.0,1,1,1.0
61-70 hours,4.0,3,1.0,very_high,1,3.0,1,1,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
41-50 hours,1.0,7 = Extremely satisfied,7.0,high,1,7.0,0,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
51-60 hours,2.0,3,1.0,high,1,3.0,1,1,1.0
21-30 hours,5.0,5,2.0,medium,0,5.0,0,0,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,2.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,2.0
21-30 hours,5.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,1.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,1.0
61-70 hours,4.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
51-60 hours,2.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
41-50 hours,1.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,1.0
41-50 hours,1.0,6,6.0,high,1,6.0,0,0,1.0
61-70 hours,4.0,7 = Extremely satisfied,7.0,very_high,1,7.0,0,0,2.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
61-70 hours,4.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
51-60 hours,2.0,5,2.0,high,1,5.0,0,0,1.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
61-70 hours,4.0,3,1.0,very_high,1,3.0,1,1,1.0
More than 80 hours,7.0,4 = Neither satisfied not dissatisfied,3.0,very_high,1,4.0,0,0,1.0
51-60 hours,2.0,1 = Not at all satisfied,5.0,high,1,1.0,1,1,1.0
71-80 hours,6.0,1 = Not at all satisfied,5.0,very_high,1,1.0,1,1,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,2.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
31-40 hours,3.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,2.0
21-30 hours,5.0,4 = Neither satisfied not dissatisfied,3.0,medium,0,4.0,0,0,2.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,2.0
41-50 hours,1.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
51-60 hours,2.0,4 = Neither satisfied not dissatisfied,3.0,high,1,4.0,0,0,1.0
41-50 hours,1.0,5,2.0,high,1,5.0,0,0,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
41-50 hours,1.0,3,1.0,high,1,3.0,1,1,1.0
31-40 hours,3.0,6,6.0,medium,0,6.0,0,0,1.0
51-60 hours,2.0,2,4.0,high,1,2.0,1,1,1.0
31-40 hours,3.0,5,2.0,medium,0,5.0,0,0,1.0
31-40 hours,3.0,3,1.0,medium,0,3.0,1,0,1.0
